17CTT,CTH001,20
1,18122001,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,18122005,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0
3,18122010,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0
4,18122020,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1
5,18122030,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1
6,18122040,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0
7,18122050,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1
8,18122060,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0
9,18122070,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0
10,18122090,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0
