18CTT3,CS162,8
1,18125002,1,1,0,1,0,1,0,0,-1,-1
2,18125003,1,1,0,0,1,0,0,1,-1,-1
3,18125004,0,0,0,0,0,1,1,1,-1,-1
4,18125051,0,1,1,1,1,1,1,1,-1,-1
5,18125054,1,1,0,0,0,0,0,0,-1,-1
6,18125062,0,0,0,0,0,1,1,0,-1,-1
7,18125064,0,1,1,1,1,1,0,0,-1,-1
8,18125069,0,1,1,1,1,1,0,1,-1,-1
9,18125070,0,1,1,0,1,1,0,1,-1,-1
10,18125071,1,0,0,1,0,0,1,0,-1,-1
11,18125073,0,1,1,0,1,0,0,1,-1,-1
12,18125077,1,0,0,0,0,0,0,0,-1,-1
13,18125084,0,0,1,1,1,1,0,1,-1,-1
14,18125085,0,1,1,0,1,1,0,1,-1,-1
15,18125086,0,0,0,1,1,0,1,1,-1,-1
